# 49971 addresses changed in all 4 diffs
# values from level20.snap; addr  int32_le  float32  hex
  0x00007ff60ccbc783       126290   1.7697e-40  52ed0100
  0x00007ff60ccbc784          493   6.9084e-43  ed010000
  0x00007ff60ccbc785   1006632961   7.8125e-03  0100003c
* 0x00007ff60ccbc8a9   -299032504  -1.3395e+28  48202dee
  0x00007ff60ccbc8aa     32386336   8.7492e-38  202dee01
  0x00007ff60ccbc8ab       126509   1.7728e-40  2dee0100
  0x00007ff60ccbc8ac          494   6.9224e-43  ee010000
  0x00007ff60ccbc8ad   -469762047  -9.4447e+21  010000e4
* 0x00007ff60ccbc8e1   -299260244  -1.3126e+28  aca629ee
  0x00007ff60ccbc8e2     32385446   8.7487e-38  a629ee01
* 0x00007ff60ccbc8e4          494   6.9224e-43  ee010000
  0x00007ff60ccbc8e5   -671088639  -5.6295e+14  010000d8
* 0x00007ff60ccbc968    820845312   1.7252e-09  001bed30
  0x00007ff60ccbc969   -298783461  -1.3689e+28  1bed30ee
  0x00007ff60ccbc96a     32387309   8.7498e-38  ed30ee01
  0x00007ff60ccbc96b       126512   1.7728e-40  30ee0100
  0x00007ff60ccbc96c          494   6.9224e-43  ee010000
  0x00007ff60ccbc96d   1946157057   4.0565e+31  01000074
* 0x00007ff60ccbc9a0    856369936   3.2403e-08  102b0b33
  0x00007ff60ccbc9a1   -298644693  -1.3853e+28  2b0b33ee
  0x00007ff60ccbc9a2     32387851   8.7501e-38  0b33ee01
  0x00007ff60ccbc9a3       126515   1.7729e-40  33ee0100
  0x00007ff60ccbc9a4          494   6.9224e-43  ee010000
  0x00007ff60ccbc9a5    402653185   1.6544e-24  01000018
* 0x00007ff60ccbca60    820848224   1.7255e-09  6026ed30
  0x00007ff60ccbca61   -298783450  -1.3689e+28  26ed30ee
  0x00007ff60ccbca62     32387309   8.7498e-38  ed30ee01
  0x00007ff60ccbca63       126512   1.7728e-40  30ee0100
  0x00007ff60ccbca64          494   6.9224e-43  ee010000
  0x00007ff60ccbca65   1073741825   2.0000e+00  01000040
* 0x00007ff60ccbca98   -294441984  -1.8815e+28  002c73ee
* 0x00007ff60ccbca9a     32370291   8.7402e-38  73eeed01
  0x00007ff60ccbca9b       126446   1.7719e-40  eeed0100
  0x00007ff60ccbca9c          493   6.9084e-43  ed010000
  0x00007ff60ccbca9d   1073741825   2.0000e+00  01000040
* 0x00007ff60ccbcbe0    738218016   1.8234e-12  2050002c
  0x00007ff60ccbcbe1   -299106224  -1.3308e+28  50002cee
  0x00007ff60ccbcbe2     32386048   8.7491e-38  002cee01
* 0x00007ff60ccbcbe4          494   6.9224e-43  ee010000
  0x00007ff60ccbcbe5  -1409286143  -1.8190e-12  010000ac
* 0x00007ff60ccbcc78    698794240   7.4054e-14  00c1a629
  0x00007ff60ccbcc79   -299260223  -1.3126e+28  c1a629ee
  0x00007ff60ccbcc7a     32385446   8.7487e-38  a629ee01
* 0x00007ff60ccbcc7c          494   6.9224e-43  ee010000
  0x00007ff60ccbcc7d    134217729   3.8519e-34  01000008
* 0x00007ff60ccbce00    820844896   1.7251e-09  6019ed30
  0x00007ff60ccbce01   -298783463  -1.3689e+28  19ed30ee
  0x00007ff60ccbce02     32387309   8.7498e-38  ed30ee01
  0x00007ff60ccbce03       126512   1.7728e-40  30ee0100
  0x00007ff60ccbce04          494   6.9224e-43  ee010000
  0x00007ff60ccbce05   1073741825   2.0000e+00  01000040
